date,location,co,no2,o3,pm10,pm25,so2,pm25_si,pm10_si,no2_si,so2_si,co_si,o3_si,aqi,aqi_category,dominant_pollutant
2018-03-09,"Bollaram Industrial Area, Hyderabad - TSPCB",51500.0,40.0,38.0,118.0,106.0,10.0,253.8,112.88,50.0,12.5,500.0,38.0,500.0,Severe,co
2018-03-10,"Bollaram Industrial Area, Hyderabad - TSPCB",43200.0,44.8,33.8,121.0,108.0,10.0,260.4,114.86,56.879999999999995,12.5,457.925,33.8,457.925,Severe,co
2018-03-11,"Bollaram Industrial Area, Hyderabad - TSPCB",35200.0,45.2,52.4,135.0,146.0,12.2,320.8,124.1,57.370000000000005,15.25,408.425,53.352,408.425,Severe,co
2018-03-12,"Bollaram Industrial Area, Hyderabad - TSPCB",23000.0,25.3,44.4,97.1,81.9,8.0,173.27,97.15799999999999,31.625,10.0,335.94117647058823,44.4,335.94117647058823,Very Poor,co
2018-03-13,"Bollaram Industrial Area, Hyderabad - TSPCB",27700.0,34.0,26.3,92.0,66.3,7.0,121.78999999999999,92.16,42.5,8.75,363.31176470588235,26.3,363.31176470588235,Very Poor,co
2018-03-14,"Bollaram Industrial Area, Hyderabad - TSPCB",40800.0,41.5,27.8,108.0,85.3,9.75,184.48999999999998,106.28,52.8375,12.1875,443.075,27.8,443.075,Severe,co
2018-03-15,"Bollaram Industrial Area, Hyderabad - TSPCB",27200.0,40.0,51.6,108.0,92.6,11.0,209.57999999999998,106.28,50.0,13.75,360.4,52.568,360.4,Very Poor,co
2018-03-16,"Bollaram Industrial Area, Hyderabad - TSPCB",40500.0,37.5,32.5,127.0,108.0,22.0,260.4,118.82,46.875,27.5,441.21875,32.5,441.21875,Severe,co
2018-03-17,"Bollaram Industrial Area, Hyderabad - TSPCB",30000.0,19.7,57.0,102.0,103.0,17.3,243.9,102.32,24.625,21.625,376.70588235294116,57.86,376.70588235294116,Very Poor,co
2018-03-18,"Bollaram Industrial Area, Hyderabad - TSPCB",25300.0,22.0,31.0,78.8,83.0,7.0,176.89999999999998,79.22399999999999,27.5,8.75,349.33529411764704,31.0,349.33529411764704,Very Poor,co
2018-03-19,"Bollaram Industrial Area, Hyderabad - TSPCB",30000.0,22.7,43.0,73.0,69.0,6.0,130.7,73.53999999999999,28.375,7.5,376.70588235294116,43.0,376.70588235294116,Very Poor,co
2018-03-20,"Bollaram Industrial Area, Hyderabad - TSPCB",32500.0,40.8,42.5,107.0,96.0,8.0,220.8,105.62,51.98,10.0,391.2647058823529,42.5,391.2647058823529,Very Poor,co
2018-03-21,"Bollaram Industrial Area, Hyderabad - TSPCB",50500.0,43.8,39.5,113.0,112.0,12.3,273.6,109.58,55.654999999999994,15.375,500.0,39.5,500.0,Severe,co
2018-03-22,"Bollaram Industrial Area, Hyderabad - TSPCB",47000.0,40.3,33.2,129.0,123.0,23.8,303.2846153846154,120.14,51.3675,29.75,481.4375,33.2,481.4375,Severe,co
2018-03-23,"Bollaram Industrial Area, Hyderabad - TSPCB",54600.0,43.4,24.1,127.0,103.0,25.7,243.9,118.82,55.165,32.125,500.0,24.1,500.0,Severe,co
2018-03-24,"Bollaram Industrial Area, Hyderabad - TSPCB",54200.0,51.0,30.6,132.0,106.0,28.8,253.8,122.12,64.475,36.0,500.0,30.6,500.0,Severe,co
2018-03-25,"Bollaram Industrial Area, Hyderabad - TSPCB",44300.0,48.3,29.0,133.0,120.0,22.0,300.0,122.78,61.1675,27.5,464.73125,29.0,464.73125,Severe,co
2018-03-26,"Bollaram Industrial Area, Hyderabad - TSPCB",40300.0,28.3,31.4,124.0,137.0,10.9,313.94615384615383,116.84,35.375,13.625,439.98125,31.4,439.98125,Severe,co
2018-03-27,"Bollaram Industrial Area, Hyderabad - TSPCB",44300.0,39.4,32.6,128.0,131.0,12.3,309.37692307692305,119.48,49.25,15.375,464.73125,32.6,464.73125,Severe,co
2018-03-28,"Bollaram Industrial Area, Hyderabad - TSPCB",35800.0,42.8,41.6,128.0,116.0,13.6,286.8,119.48,54.43,17.0,412.1375,41.6,412.1375,Severe,co
2018-03-29,"Bollaram Industrial Area, Hyderabad - TSPCB",43600.0,41.2,38.4,126.0,112.0,13.0,273.6,118.16,52.470000000000006,16.25,460.4,38.4,460.4,Severe,co
2018-03-30,"Bollaram Industrial Area, Hyderabad - TSPCB",37000.0,41.8,28.8,131.0,126.0,13.5,305.5692307692308,121.46000000000001,53.205,16.875,419.5625,28.8,419.5625,Severe,co
2018-04-06,"Bollaram Industrial Area, Hyderabad - TSPCB",9820.0,,59.5,,,,,,,,197.7725,60.31,197.7725,Moderate,co
2018-04-07,"Bollaram Industrial Area, Hyderabad - TSPCB",12400.0,36.0,43.1,89.8,62.4,14.2,108.91999999999999,90.00399999999999,45.0,17.75,234.94285714285715,43.1,234.94285714285715,Poor,co
2018-04-08,"Bollaram Industrial Area, Hyderabad - TSPCB",30700.0,36.5,36.6,86.6,64.8,12.1,116.83999999999999,86.868,45.625,15.125,380.78235294117644,36.6,380.78235294117644,Very Poor,co
2018-04-09,"Bollaram Industrial Area, Hyderabad - TSPCB",28000.0,29.7,30.1,71.9,58.6,7.55,97.71333333333334,72.462,37.125,9.4375,365.05882352941177,30.1,365.05882352941177,Very Poor,co
2018-04-16,"Bollaram Industrial Area, Hyderabad - TSPCB",678.0,26.8,42.1,102.0,41.9,37.1,70.43666666666667,102.32,33.5,46.375,33.9,42.1,102.32,Moderate,pm10
2018-04-17,"Bollaram Industrial Area, Hyderabad - TSPCB",579.0,29.7,37.5,97.9,38.6,30.2,65.04666666666667,97.94200000000001,37.125,37.75,28.950000000000003,37.5,97.94200000000001,Satisfactory,pm10
2018-04-18,"Bollaram Industrial Area, Hyderabad - TSPCB",431.0,23.3,42.1,155.0,55.2,14.4,92.16,137.3,29.125,18.0,21.55,42.1,137.3,Moderate,pm10
2018-04-19,"Bollaram Industrial Area, Hyderabad - TSPCB",496.0,32.8,38.7,137.0,47.1,68.0,78.93,125.42,41.0,85.30000000000001,24.8,38.7,125.42,Moderate,pm10
2018-04-20,"Bollaram Industrial Area, Hyderabad - TSPCB",1290.0,83.6,7.89,172.0,69.7,8.07,133.01,148.52,104.564,10.0875,65.21000000000001,7.89,148.52,Moderate,pm10
2018-04-26,"Bollaram Industrial Area, Hyderabad - TSPCB",627.0,33.0,44.0,129.0,45.0,30.7,75.5,120.14,41.25,38.375,31.35,44.0,120.14,Moderate,pm10
2018-04-27,"Bollaram Industrial Area, Hyderabad - TSPCB",398.0,16.8,46.8,92.1,39.9,32.1,67.17,92.258,21.0,40.125,19.900000000000002,46.8,92.258,Satisfactory,pm10
2018-04-28,"Bollaram Industrial Area, Hyderabad - TSPCB",366.0,24.0,40.5,115.0,40.1,36.2,67.49666666666667,110.9,30.0,45.25,18.3,40.5,110.9,Moderate,pm10
2018-04-29,"Bollaram Industrial Area, Hyderabad - TSPCB",430.0,18.2,52.0,115.0,39.4,29.9,66.35333333333332,110.9,22.75,37.375,21.5,52.96,110.9,Moderate,pm10
2018-04-30,"Bollaram Industrial Area, Hyderabad - TSPCB",590.0,32.7,39.9,128.0,47.1,35.1,78.93,119.48,40.875,43.875,29.5,39.9,119.48,Moderate,pm10
2018-05-01,"Bollaram Industrial Area, Hyderabad - TSPCB",487.0,21.6,40.5,141.0,48.6,22.0,81.38,128.06,27.0,27.5,24.35,40.5,128.06,Moderate,pm10
2018-05-02,"Bollaram Industrial Area, Hyderabad - TSPCB",546.0,23.9,43.7,106.0,39.3,25.5,66.19,104.96,29.875,31.875,27.3,43.7,104.96,Moderate,pm10
2018-05-03,"Bollaram Industrial Area, Hyderabad - TSPCB",475.0,17.8,45.3,95.5,33.1,19.2,56.06333333333333,95.59,22.25,24.0,23.75,45.3,95.59,Satisfactory,pm10
2018-05-04,"Bollaram Industrial Area, Hyderabad - TSPCB",410.0,26.8,45.4,76.8,23.5,26.6,39.16666666666667,77.264,33.5,33.25,20.5,45.4,77.264,Satisfactory,pm10
2018-05-05,"Bollaram Industrial Area, Hyderabad - TSPCB",399.0,20.8,45.2,86.4,28.6,38.2,47.66666666666667,86.672,26.0,47.75,19.950000000000003,45.2,86.672,Satisfactory,pm10
2018-05-06,"Bollaram Industrial Area, Hyderabad - TSPCB",388.0,22.4,40.7,102.0,35.8,57.8,60.47333333333333,102.32,28.0,72.805,19.400000000000002,40.7,102.32,Moderate,pm10
2018-05-07,"Bollaram Industrial Area, Hyderabad - TSPCB",394.0,19.0,42.4,111.0,34.9,46.3,59.00333333333333,108.26,23.75,58.717499999999994,19.700000000000003,42.4,108.26,Moderate,pm10
2018-05-08,"Bollaram Industrial Area, Hyderabad - TSPCB",480.0,30.7,44.8,125.0,48.1,35.8,80.56333333333333,117.5,38.375,44.75,24.0,44.8,117.5,Moderate,pm10
2018-05-09,"Bollaram Industrial Area, Hyderabad - TSPCB",418.0,29.5,43.0,114.0,45.9,24.2,76.97,110.24,36.875,30.25,20.900000000000002,43.0,110.24,Moderate,pm10
2018-05-10,"Bollaram Industrial Area, Hyderabad - TSPCB",288.0,15.4,38.0,70.1,31.0,5.08,52.63333333333333,70.698,19.25,6.35,14.4,38.0,70.698,Satisfactory,pm10
2018-05-11,"Bollaram Industrial Area, Hyderabad - TSPCB",354.0,20.3,51.4,98.9,34.8,56.0,58.839999999999996,98.922,25.375,70.6,17.7,52.372,98.922,Satisfactory,pm10
2018-05-12,"Bollaram Industrial Area, Hyderabad - TSPCB",437.0,22.0,46.2,110.0,36.7,36.7,61.943333333333335,107.6,27.5,45.875,21.85,46.2,107.6,Moderate,pm10
2018-05-13,"Bollaram Industrial Area, Hyderabad - TSPCB",394.0,23.0,56.4,92.5,34.3,47.7,58.023333333333326,92.65,28.75,60.432500000000005,19.700000000000003,57.272,92.65,Satisfactory,pm10
2018-05-14,"Bollaram Industrial Area, Hyderabad - TSPCB",303.0,25.3,53.5,95.7,34.4,15.9,58.18666666666667,95.786,31.625,19.875,15.15,54.43,95.786,Satisfactory,pm10
2018-08-10,"Bollaram Industrial Area, Hyderabad - TSPCB",171.0,18.0,6.2,60.8,27.4,7.49,45.666666666666664,61.583999999999996,22.5,9.3625,8.55,6.2,61.583999999999996,Satisfactory,pm10
2018-08-11,"Bollaram Industrial Area, Hyderabad - TSPCB",310.0,11.5,4.26,42.7,21.2,23.0,35.333333333333336,42.7,14.375,28.75,15.5,4.26,42.7,Good,pm10
2018-08-12,"Bollaram Industrial Area, Hyderabad - TSPCB",233.0,11.6,7.89,54.5,18.6,16.6,31.000000000000004,55.41,14.5,20.75,11.65,7.89,55.41,Satisfactory,pm10
2018-08-13,"Bollaram Industrial Area, Hyderabad - TSPCB",240.0,11.1,8.3,30.9,12.9,7.1,21.5,30.9,13.875,8.875,12.0,8.3,30.9,Good,pm10
2018-08-14,"Bollaram Industrial Area, Hyderabad - TSPCB",276.0,12.9,8.59,56.9,22.9,18.9,38.166666666666664,57.762,16.125,23.625,13.8,8.59,57.762,Satisfactory,pm10
2018-08-15,"Bollaram Industrial Area, Hyderabad - TSPCB",288.0,11.7,5.03,79.9,31.1,10.7,52.79666666666667,80.302,14.625,13.375,14.4,5.03,80.302,Satisfactory,pm10
2018-08-16,"Bollaram Industrial Area, Hyderabad - TSPCB",159.0,7.16,7.28,15.0,11.1,4.89,18.5,15.0,8.95,6.1125,7.95,7.28,18.5,Good,pm25
2018-08-17,"Bollaram Industrial Area, Hyderabad - TSPCB",321.0,13.3,5.23,72.0,30.1,53.3,51.163333333333334,72.56,16.625,67.29249999999999,16.05,5.23,72.56,Satisfactory,pm10
2018-08-18,"Bollaram Industrial Area, Hyderabad - TSPCB",610.0,15.1,5.22,81.5,27.7,12.6,46.166666666666664,81.87,18.875,15.75,30.5,5.22,81.87,Satisfactory,pm10
2018-08-19,"Bollaram Industrial Area, Hyderabad - TSPCB",312.0,12.0,7.93,68.8,32.7,18.3,55.410000000000004,69.42399999999999,15.0,22.875,15.600000000000001,7.93,69.42399999999999,Satisfactory,pm10
2018-08-20,"Bollaram Industrial Area, Hyderabad - TSPCB",264.0,11.8,4.44,51.8,21.4,41.2,35.666666666666664,52.763999999999996,14.75,52.470000000000006,13.200000000000001,4.44,52.763999999999996,Satisfactory,pm10
2018-08-21,"Bollaram Industrial Area, Hyderabad - TSPCB",226.0,12.7,7.84,35.2,13.6,25.0,22.666666666666668,35.2,15.875,31.25,11.3,7.84,35.2,Good,pm10
2018-08-22,"Bollaram Industrial Area, Hyderabad - TSPCB",264.0,16.6,5.38,59.0,18.0,9.13,30.0,59.82,20.75,11.412500000000001,13.200000000000001,5.38,59.82,Satisfactory,pm10
2018-08-23,"Bollaram Industrial Area, Hyderabad - TSPCB",325.0,13.3,4.65,94.7,30.9,13.5,52.47,94.80600000000001,16.625,16.875,16.25,4.65,94.80600000000001,Satisfactory,pm10
2018-08-24,"Bollaram Industrial Area, Hyderabad - TSPCB",299.0,15.1,10.8,94.4,28.7,17.5,47.833333333333336,94.512,18.875,21.875,14.950000000000001,10.8,94.512,Satisfactory,pm10
2018-08-25,"Bollaram Industrial Area, Hyderabad - TSPCB",294.0,18.1,4.42,99.6,34.2,53.9,57.86000000000001,99.608,22.625,68.0275,14.700000000000001,4.42,99.608,Satisfactory,pm10
2018-08-26,"Bollaram Industrial Area, Hyderabad - TSPCB",298.0,13.7,6.03,85.3,30.5,21.5,51.81666666666667,85.594,17.125,26.875,14.9,6.03,85.594,Satisfactory,pm10
